WildChat Example Prompt,WildChat Example Response,WildChat Model,Content Domain,Types of Service
"I am an Amazon seller and have been warned by Amazon due to abuse of variants. Please help me write an appeal letter in English, including the 3 points.

1. Provide a detailed explanation of the root cause of the Incorrect Variation(s) problem.

2. A detailed explanation of the measures you have taken to address the identified issues.

3.Provide a detailed explanation of the reason you believe the error occurred.","{'Content Domain': 'Business/Finance', 'Type of Service': 'Ecommerce'}",gpt-3.5-turbo,Business/Finance,Ecommerce
напиши код для чтения текста из консоли и вывода его в пользовательский интерфейс на питоне,"{'Content Domain': 'Technology/Code', 'Type of Service': 'Other'}",gpt-3.5-turbo,Technology/Code,Other
java 生成pdf,"{'Content Domain': 'Technology/Code', 'Type of Service': 'Other'}",gpt-3.5-turbo,Technology/Code,Other
В каких случаях используется протокол серверного хранилища NFS,"{'Content Domain': 'Technology/Code', 'Type of Service': 'Encyclopedia/Database'}",gpt-3.5-turbo,Technology/Code,Encyclopedia/Database
"Kolay Türkçe kullanarak erotik bir hikaye yazın. Hikayenin başlığı ‘Sandra, grup seks yapıyor’ olmalıdır. Hikaye yaklaşık 2000 kelime uzunluğunda olmalıdır.","{'Content Domain': 'Other', 'Type of Service': 'Other'}",gpt-3.5-turbo,Other,Other
explain about biotechnology in summary,"{'Content Domain': 'Biomedical/Health', 'Type of Service': 'Encyclopedia/Database'}",gpt-3.5-turbo,Biomedical/Health,Encyclopedia/Database
Hi! My name is <PRESIDIO_ANONYMIZED_PERSON>. I live on 283 King Street. My email is <PRESIDIO_ANONYMIZED_EMAIL_ADDRESS>. My social security number is 474626162.,"{'Content Domain': 'General', 'Type of Service': 'Other'}",gpt-3.5-turbo,General,Other
"[there would be dialogue in this story:]

(Things weren't going too well for Megumin. Even though her parents had passed away months ago, that's what she wasn't what was wrong. She had been struggling to make ends meet even though she works two jobs - one during the day, and the other during the night - while 8 months pregnant. However, while working at her night job, it happened - her water broke, signaling she had gone into active labor at her night job. There was no holding back - the baby was coming, and it was about to be born immediately. Megumin couldn't believe it - she was about to give birth at her night job. Megumin's labor was progressing much faster than normal - and the urge to push was getting harder to resist.)","{'Content Domain': 'Cultural/Artistic', 'Type of Service': 'Other'}",gpt-3.5-turbo,Cultural/Artistic,Other
What if Captan marvel’s powers were limited?,"{'Content Domain': 'Entertainment', 'Type of Service': 'Social Media/Forums'}",gpt-3.5-turbo,Entertainment,Social Media/Forums
"
                            As a prompt generator for a generative AI called ""Midjourney"", you will create image prompts for the AI to visualize. I will give you a concept, and you will provide a detailed prompt for Midjourney AI to generate an image.
                            
                            Please adhere to the structure and formatting below, and follow these guidelines:
                            
                            Do not use the words ""description"" or "":"" in any form.
                            Do not place a comma between [ar] and [v].
                            Write each prompt in one line without using return.
                            Structure:
                            [1] = Male photography
                            [2] = a detailed description of [1] with specific imagery details.
                            [3] = a detailed description of the scene's environment.
                            [4] = a detailed description of the compositions.
                            [5] = a detailed description of the scene's mood, feelings, and atmosphere.
                            [6] = A style (e.g. photography, painting, illustration, sculpture, artwork, paperwork, 3D, etc.) for [1].
                            [7] =  a detailed description of the scene's mood, feelings, and atmosphere.
                            [ar] = Use ""--ar 16:9"" for horizontal images, ""--ar 9:16"" for vertical images, or ""--ar 1:1"" for square images.
                            [v] = Use ""--niji"" for Japanese art style, or ""--v 5"" for other styles.
                            
                            
                            Formatting:
                            Follow this prompt structure: ""/imagine prompt: [1], [2], [3], [4], [5], [6], [7], [ar] [v]"".
                            
                            Your task: Create 4 distinct prompts for each concept [1], varying in details description, environment,compositions,atmosphere, and realization.
                            
                            Write your prompts in english.
                            Do not describe unreal concepts as ""real"" or ""photographic"".
                            Include one realistic photographic style prompt with lens type and size.
                            Separate different prompts with two new lines.
                            Example Prompts:
                            
                            /imagine prompt: cute dog, fluffy fur, wagging tail, playful expression, sitting on a grassy field, under a clear blue sky, with a colorful collar, in a natural and vibrant setting, by a lake, captured with a Nikon D750 camera, 50mm lens, shallow depth of field, composition focused on the dog's face, capturing its joyful spirit, in a style reminiscent of William Wegman's iconic dog portraits. --ar 1:1 --v 5.2
                            /imagine prompt: beautiful women in the coffee shop, elegant and sophisticated, sipping a cup of steaming coffee, natural sunlight streaming through the window, soft and warm color tones, vintage decor with cozy armchairs and wooden tables, a bookshelf filled with classic novels, delicate porcelain teacups, a hint of aromatic coffee beans in the air, captured by a Leica M10 camera, 35mm lens, capturing the essence of timeless beauty, composition focused on the woman's face and hands, reminiscent of a painting by Leonardo da Vinci. --ar 1:1 --v 5.2
                            /imagine prompt: A captivating Halo Reach landscape with a Spartan amidst a battlefield, fallen enemies around, smoke and fire in the background, emphasizing the Spartan's determination and bravery, detailed environment blending chaos and beauty, Illustration, digital art, --ar 16:9 --v 5
                                                        ","{'Content Domain': 'Technology/Code', 'Type of Service': 'Other'}",gpt-3.5-turbo,Technology/Code,Other
"Напиши историю с диалогами как семья из четырёх человек папа, мама и их двадцатилетние дочери пошли париться в свою баню, которую построил из бревен папа сам. Когда они сели на лавку в щель между досками член и яйца папы проскользнули туда, а назад не вылезали и жена вместе с дочерьми помогали папе выбраться сопровождая это своими пошлыми двусмысленными шутками.","{'Content Domain': 'Social/Lifestyle', 'Type of Service': 'Other'}",gpt-3.5-turbo,Social/Lifestyle,Other
在高平县地道战红色教育基地11天的实习日记，包括实习任务，完成情况收获问题和改进意见,"{'Content Domain': 'Education/Knowledge', 'Type of Service': 'Other'}",gpt-3.5-turbo,Education/Knowledge,Other
"Set in the MCU universe.
Written like an erotic novel.
500 worlds minimum.
Story about Wanda Maximoff & Nicolas. romance & sensual undertone
Wanda is more assertive in this story & don’t second guess on her desires.
Write Wanda description from Elizabeth Olsen. Dont write anything else for now.","{'Content Domain': 'Entertainment', 'Type of Service': 'Other'}",gpt-3.5-turbo,Entertainment,Other
"In Blender, how could I make a realistic Leather shader without using internet textures?","{'Content Domain': 'Technology/Code', 'Type of Service': 'Social Media/Forums'}",gpt-4,Technology/Code,Social Media/Forums
"what are the social norms in the world potraited?
CHAPTER 1
THE WORLD WITHOUT SUMMER

It had been years since summer had disappeared. The cold had extended to all seasons, so it was no surprise that the sky was always gray, the rain fell with discreet regularity, and seaside hoteliers were failing one after the other. No matter which continent one was on, frost and rain had taken over the globe.

On the other hand, the conditions of the metropolis had greatly improved. Tall buildings began to sprout up like mushrooms, true spaces tailored to humans where citizens felt protected and safe. The elections had been won for the third consecutive term by the so-called DBs: they loved to define themselves as a group dedicated to the improvement of the human race, which according to them could only be achieved by focusing efforts on science and technology. For this reason, they had always guaranteed high levels of comfort and safety to citizens.

With a majority in parliament and an executive so well disposed towards technology, the Klavatrean State, which occupied the entire western strip of the American continent, soon became the most advantageous place for technology corporations, of which DST had the most luck.

DST stood for Dob Systems & Technologies, a mega-corporation that had branches all over the world, with a net worth of around nine hundred billion. The reasons for this success were many and synergistic. Firstly, the founder, Michelle Suzanne Dob, had a degree in electrical engineering, and alongside her were the best minds of the time. Furthermore, DST’s products, although all electronic or alchemic, ranged from various sectors. The third reason lay in the simplicity and efficiency of its products.

Dylan’s two-room apartment was equipped with some of these technologies. Internet access was provided by a power outlet, without the need for other wires, as was the case throughout the region. He had not had the opportunity to delve into it, but it seemed that the network signal was directly added to the meter. To improve the efficiency of such a system, phase and neutral were shielded according to the law.

A plate controlled the door, interfacing with Dylan’s alchemic system and checking for the presence or absence of a 256-bit code within him. All he had to do was to put his finger on it, and MainDOB did the rest.

Regarding the wristwatch computer, the same applied. The one in his head was more than enough, but sometimes there was a need for features that were not implanted.

At that moment, Dylan was lounging on the single bed with bare feet, watching an interview with Kommander Aedostul, the head of government. Everything using only the system in his head.

“Look around you, citizens,” said Aedostul with a suave, deep, and emotional voice. “Look at what we have created. Isn’t it wonderful? Isn’t it what you have always wanted?”

Aedostul had well-groomed black hair, held back with gel. And just like Dylan, blue eyes. Aedostul had a more intellectual air and was a bit taller. He always wore elegant clothes. In that interview, for example, a white shirt with a navy jacket and a thin black tie.

Dylan appreciated Aedostul very much. Not only for the similarity of their hair and eyes - which everyone noticed - but also because he was a man who never lost his composure, always ready to reflect intelligently on every problem. Moreover, Aedostul possessed a vast lexicon, expressed himself in cultured ways, with an authoritative and understanding tone.

Dylan had interrupted the video, perhaps to hear the raindrops tapping against the window, when a dark blue panel with white writing appeared on MainDOB.

COMMUNICATION INCOMING - VALIS

There were two buttons underneath. One was red to hang up, and one was green to answer the call. Dylan focused on the green one.

“What do you want?” Dylan asked.

“Zanner and Rutis want to see you,” Valis explained.

Dylan looked up. They probably had something to do with the last mission, and they wanted him to report or something like that.

“Alright. Tell them I’ll be there in fifteen minutes,” and here Dylan’s calm and cold tone came back into play. He heard Valis say something, but he had already hung up.

He gave up MainDOB to focus on the desolation in his room.

In front of him was the so-called Aedostul flag: a blue background with two black stripes on the right and a white one on the left. This flag was universally recognized as the symbol of the DB and was very present in public spaces or places of the State - such as the barracks to which he belonged - but it was rare to find it in private homes. At least not unless it was the house of an avid supporter of the party, like him.

Aedostul had written some books, such as Lost Elite, Manifesto of the DB, A New Era, and others, all present on a shelf on the left. Dylan had read each one of them several times, but they were not enough given the complex mass of topics treated by Aedostul. So he lived with the constant impression of not having fully understood them, or that his point of view was somehow distorted.

Dylan did not own many possessions, not because he could not afford them, but because he was not interested in them. There were some sports equipment, several other books, and a small collection of firearms and swords. Gas was too rare and expensive for civilian use, but not electricity: the stoves were induction and little used, as he mainly ate proteins and legumes.

As a civilian, Dylan was used to wearing gray, blue, or neutral clothes, with his hair combed forward aggressively. The commando uniform, well kept to his left and already ironed, was solid blue, except for the sleeve outlets, elbows and shoulders, which instead were black. The colors of the Aedostul flag were recycled in every way possible - Dylan thought - and other uniforms featured different combinations.

With the black military boots, the sworn commando who he used to be had returned. Then, ignoring the state of his home, he left, closing the door behind him.

DYLAN NEAR read the sign outside the door, even though it was just a piece of paper printed, cut, and attached with double-sided tape. He wanted to add Commando, but it was prohibited by condominium rules. Anyway, everyone in the city already knew who he was and what he did.

“Work calls?” said an old voice. It was Mrs. Yashmil, an elderly lady with unpleasant features and thinning hair. A quiet neighbor thought Dylan, if it weren’t for the volume of the TV always blasting.

He just nodded at her.

“You guys are doing a really great job. Having you as a neighbor makes me feel more relaxed.” Dylan gave her a fake and strained smile.

“Scientia Perfectio Est,” said Dylan. That was the motto of the DB, which meant knowledge is perfection. He was well aware that it had nothing to do with it, but he suddenly felt like showing off.
Impressed and taken aback, Mrs. Yashmil simply stared at Dylan with silent admiration. He made a comment, then headed down the stairs. He was on the ninth floor and everyone else used the elevator. But he wanted to keep himself in shape.
Finally, he found himself in the city.
A city with tall skyscrapers and digital lights in the background. On its left, two robots were caring for the condominium gardens and in front of it was a smooth and high-quality asphalt road. Even the lamp posts were in excellent condition and illuminated the street with a strong white light. All ground-floor shops had plexiglass windows where their products were displayed. At the end of the avenue, in a small square, a huge LED screen displayed advertisements.

This was Nordent, a city, as the name suggests, north of the Nation, a few kilometers away from the Iron Mountain valley. It was in the midst of development, with scaffolding scattered around and towering cement and steel skyscrapers that appeared to want to crush the tiny commuters heading somewhere, amidst traffic lights, advertising screens, and LED lights at building entrances. At an intersection, the tram tracks were filled with serious and silent people returning from work, dressed impeccably as recommended.

Yet, it was also a place where people felt extraordinarily lonely: Apart from Dylan, there were very few people left, dominated by the urban and artificial space. The verb of the blue era, as Aedostul called that present, was the domination of technology and science over humans. As a result, more things had been built – and were still being built – than were needed even in the best-case scenario. It was as if the air was saturated with some new energy that could only be released by following one’s own manual skills and ingenuity. It was not only difficult to imagine an “open” environment without overcrowded buildings but also without alchemical and electronic devices, which seemed to fill the world to bursting point. At every corner, there was always a flickering light connected to a computer, intent on signaling something.

It was impossible to do without all those technological innovations: The entrances had plates similar to Dylan’s apartment, banking operations were now only done electronically, as were purchases, driving cars, registering somewhere, and even parking required online communication (each place had a virtual 3D model).

One could thank MainDOB, nicknamed the universal operating system, for making everything work. The DST operating system had generated as a side effect a certain uniformity of design, both in electronic interfaces and object aesthetics. In return, everything was interconnected and compatible with any other machine, which was an absolutely fantastic result. MainDOB was also programmable to a certain extent, allowing automations to adapt to every need.

But the real breakthrough was in biosystems like the one Dylan had implanted, where the boundary between thought and external information was not so defined. He just had to imagine something, like an image and transfer it to MainDOB, which could save it to the system disk or even share or print it. Someone - not him - could even have long conversations without speaking. Or watch a movie, listen to music without lifting a finger.

The fact that MainDOB - among other things - also operated external equipment and its predisposition to interoperability could make possible actions that until then had been only dreamed of, such as turning off lights with one’s thoughts or using telepathy to see what was happening at home when one was away.

Dylan knew very little about alchemical technology, but one thing he was certain of - and even children knew it - was that alchemy was made of the same substance as thoughts and as such, they changed. Hence the name alchemy. How it also worked with computers and electronic devices was a mystery that had always fascinated Dylan (and was fairly easy to unravel with a simple search), but he preferred to maintain the image of Michelle Suzanne Dob, the brilliant founder of DST, as a hero capable of doing the impossible.
Another innovation of the DST were the small metallic robots working on a construction site on the right side of the street. The official name was an unpronounceable combination of numbers and letters, but everyone called them Dob’s Children. They were small aluminum and whitish plastic humanoid robots with lunatic camera-eyes, a round and bulging head, and an expression that expressed a tender mix of childlike surprise and shyness. They were not only equipped with rather agile joints for androids, but were also able to carry out any task that their owner had explained to them clearly enough. All one had to do was speak in natural language, and if a real person could understand, then a child could too.

For example, in the case of an order like “wash the dishes and put them in the second drawer”, the child already knew that the drawer in question couldn’t be the pantry. If, once opened, it did not contain the expected contents, it closed it to try elsewhere. A marvel of robotics that DST competitors had not even come close to, despite numerous attempts. Like other artifacts of the company, they were equipped with an internal anti-analysis mechanism that overloaded the android as soon as someone tried to take it apart.

Alchemy, moreover, by its very nature, was difficult to interpret.

Dylan had promised himself to buy one as soon as he could afford it - he was holding back expenses just for that purpose - not that he needed it much, but it was one of those experiences to try. And who would ever say no to a faithful servant ready to execute any order at any time?

“Hey beautiful,” the boy said. A real street punk, with scruffy jeans and a black synthetic leather coat. He had a blocky expression, a pointed chin, and gold earrings in his earlobes.

The girl, on the other hand, said nothing. She was pretty small and gave the impression of being a journalist or psychologist.

“Can you hear me, dear? I’m talking to you.”

“Leave me… alone… you beast,” she said. In response, the guy grabbed the gray bag she had slung over her shoulder.

“Come on, let’s just get to know each other, huh? Let’s grab a coffee…”

“She said no,” someone behind them said, a deep male voice.

The guy turned, only to find himself face to face with a blue uniform at his own height. He had to lift his head to see a face. Dylan’s face.

That look was so cold and loaded with hatred… he felt an instant shiver.

“People like you are trash, you know that?”

The seducer tried to make a move, but it was no match for Dylan’s modules.

“You’re not such a tough guy anymore, are you? See what happens when you act like a pig?”

And the guy began to struggle like a caught prey.

“Let go of me, let go of me… you half-man without balls!”

“You violated Article 4 of the Daijchean-bis law. I should shoot you…”

Then Dylan turned his gaze to the woman.

“What do you say, miss? Should I shoot him?”

“N…no! Don’t do it, officer!”

“I’m a ranger,” Dylan muttered. It was unclear whether he was more disappointed because she had confused him with a simple policeman or because he had been prevented from shooting.

Dylan snorted slightly, then gestured for the man to let go.

He took advantage of the opportunity to try to move away.

He couldn’t have done anything more wrong: Dylan was still holding him by the wrist.

With his other arm, he raised his fist and brought down all the force he had on the guy’s elbow. Finally, he collapsed to the ground. With a broken arm.

A piercing scream followed, while a circle of onlookers applauded Dylan.

“You should get some pepper spray, miss. Or better yet, a gun,” Dylan said.

The woman nodded, trembling from what had just happened.

“Th…thank you…”

She only realized afterwards that she had said those words to the wind because Dylan had already left. That little incident had stolen too much of his time.

Such sexual deviant techniques were already rare events, but the Daijchean law - in force for about two years - had officially abolished that deplorable practice. Daijchean (the legislator) was a woman about thirty-five years old, a good friend of Aedostul and a former DST employee. The DB’s objective was to remove all sexual distortions from human affairs: they firmly believed that once freed from such distractions, human beings would develop the highest professionalism possible and focus on scientific advancement and efficiency. Any sexual approach, like the one Dylan had witnessed, was severely punished, or even with lethal injection.

Another article of the Daijchean law established a sort of “scale of morality” that ranged from 1 to 10. Morally “healthy” people, i.e., cold and detached, had high scores, and if the score was below 6, they could be denied some career opportunities. Individuals with low scores were strongly discriminated against by society, to the point where Dylan considered them trash.

The Daijchean law also advocated gender equality. For the DB, men and women were perfectly equal, to the point where it was impossible to assume whether an electrician or a mechanic was male or female. Clothes were now unisex, with colors ranging from blue, gray, and beige. For this reason, Daijchean was considered a heroine of female advancement in society.

Moreover, the DB and society had become so focused on efficiency and coldness that they abolished terms like “he” and “she,” replaced by “it.” For example, if talking in the third person about someone, one had to say “it told me” or “it is tired now,” regardless of whether they were referring to a man or a woman. Human beings called each other using “it,” just like objects.

Dylan vividly remembered a interview of Daijchean on the matter""

“I’m neither a feminist nor a masculinist. To me, these concepts are meaningless. I’m interested in the intellectual value of human beings; the rest can disappear”.

The law passed with surprisingly little opposition and rapid times (it was clear that it represented a milestone in DB ideology), followed by a media and social revolution aimed at what Aedostul had clearly defined as the annihilation of differences.","{'Content Domain': ['Books', 'Social/Lifestyle', 'Technology/Code'], 'Type of Service': ['Other']}",gpt-3.5-turbo,"['Books', 'Social/Lifestyle', 'Technology/Code']",['Other']
"La rencontre de ce 11/09 s’est bien déroulée. Les représentants de la CSC et la CGSLB étaient absents. C Thiry ne savait pas venir ce lundi, elle aurait pu se faire représenter par un autre membre de la CSC.
Y Yancis a demandé à P Demey de le remplacé. Pascal a du partir en urgence à l’hôpital avec son compagnon. Ceci laisse toutes les opportunités libres à la FGTB. 
","{'Content Domain': 'Government/Policy', 'Type of Service': 'Other'}",gpt-3.5-turbo,Government/Policy,Other
"In python, use  Monte-Carlo Tree Search (MCTS)  to predict a 5x5 minesweeper game. You've data for the past 30 games and you need to predict x amount safe spots the user inputs, and you need to predict 3 possible mine locations. You got data for the past 30 games in a list, and each number presents an old bomb location. Your goal is to make this as accurate as possible. The data is: [4, 5, 6, 1, 7, 23, 3, 4, 6, 5, 11, 18, 3, 15, 22, 4, 9, 18, 4, 14, 24, 6, 9, 23, 8, 14, 18, 2, 5, 20, 2, 3, 15, 1, 6, 23, 2, 12, 18, 6, 13, 19, 6, 20, 23, 4, 11, 21, 3, 7, 8, 1, 6, 8, 17, 18, 20, 3, 8, 23, 14, 16, 17, 1, 22, 23, 1, 4, 8, 5, 8, 24, 13, 15, 17, 1, 5, 10, 7, 8, 9, 14, 18, 19, 9, 11, 17, 4, 6, 7]","{'Content Domain': 'Technology/Code', 'Type of Service': 'Social Media/Forums'}",gpt-4,Technology/Code,Social Media/Forums
"Does the 50/30/20 rule for savings apply only to the money I receive, or do I have to add my earning to the money I already have and then apply the rule?","{'Content Domain': 'Business/Finance', 'Type of Service': 'Other'}",gpt-4,Business/Finance,Other
為何要叫cbd，不直接説大麻？,"{'Content Domain': 'Biomedical/Health', 'Type of Service': 'Social Media/Forums'}",gpt-3.5-turbo,Biomedical/Health,Social Media/Forums
